User_ID,User_Name,Join_Date,Last_Login,Monthly_Price,Watch_Hours,Favorite_Genre,Active_Devices,Profile_Count,Parental_Controls,Total_Movies_Watched,Total_Series_Watched,Country,Payment_Method,Language_Preference,Recommended_Content_Count,Average_Rating_Given,Has_Downloaded_Content,Membership_Status,Loyalty_Points,First_Device_Used,Age_Group,Primary_Watch_Time,Watch_Hour_Group,Loyalty_Point_Group,Age_Category
7943,Nathan,10/1/2024,12/1/2024,15.99,211,Documentary,2,6,True,657,137,Australia,Credit Card,Hindi,26,4.0,True,Active,2670,Desktop,18-24,Late Night,201-300 ,2000-2999 ,Young Streamers
2490,Matthew,8/18/2023,11/19/2024,11.99,248,Sci-Fi,4,1,True,426,21,India,Debit Card,Spanish,99,4.8,False,Active,2409,Smartphone,35-44,Late Night,201-300 ,2000-2999 ,Mature Streamers
5042,Ashley,2/16/2024,11/23/2024,15.99,197,Romance,4,2,False,309,178,Australia,Cryptocurrency,Mandarin,7,4.3,False,Active,1577,Smart TV,35-44,Evening,101-200 ,1000-1999 ,Mature Streamers
3620,Kerri,8/7/2024,12/7/2024,15.99,253,Comedy,5,5,True,141,199,USA,Debit Card,French,72,3.1,False,Active,4072,Laptop,45-54,Afternoon,201-300 ,4000-4990 ,Older Streamers
8976,Jessica,9/17/2024,12/12/2024,7.99,352,Romance,4,3,True,112,106,France,Credit Card,French,33,4.6,True,Active,3432,Tablet,45-54,Afternoon,301-500 ,3000-3999 ,Older Streamers
1570,Matthew,7/18/2023,11/22/2024,11.99,97,Romance,1,2,False,836,122,UK,Debit Card,Spanish,65,4.3,True,Active,4511,Smartphone,18-24,Morning,51-100 ,4000-4990 ,Young Streamers
7709,Phillip,4/4/2023,12/1/2024,11.99,283,Sci-Fi,5,2,False,785,1,Australia,Debit Card,German,79,3.4,True,Active,583,Tablet,25-34,Evening,201-300 ,0-999 ,Adult Streamers
9503,Elizabeth,4/11/2024,12/5/2024,11.99,307,Documentary,5,6,False,857,9,France,Cryptocurrency,Hindi,55,3.2,True,Active,3626,Laptop,35-44,Late Night,301-500 ,3000-3999 ,Mature Streamers
9564,Lisa,4/26/2023,12/4/2024,15.99,203,Comedy,5,1,False,347,18,Australia,Cryptocurrency,Spanish,8,4.4,True,Active,476,Laptop,45-54,Afternoon,201-300 ,0-999 ,Older Streamers
8934,Natalie,3/25/2023,12/5/2024,7.99,22,Drama,4,3,False,707,156,Canada,Cryptocurrency,Spanish,99,3.3,False,Active,4114,Desktop,18-24,Evening,0-50 ,4000-4990 ,Young Streamers
1222,Autumn,9/1/2023,12/8/2024,15.99,382,Romance,2,2,False,49,45,Canada,PayPal,Hindi,63,4.0,True,Active,1581,Smart TV,35-44,Morning,301-500 ,1000-1999 ,Mature Streamers
5762,James,3/28/2024,12/2/2024,11.99,302,Comedy,5,4,False,801,141,France,Debit Card,Mandarin,62,3.5,True,Active,1293,Laptop,45-54,Morning,301-500 ,1000-1999 ,Older Streamers
4066,Jessica,3/26/2023,12/12/2024,11.99,76,Sci-Fi,2,3,False,788,55,UK,Credit Card,German,50,4.8,True,Active,1744,Laptop,18-24,Morning,51-100 ,1000-1999 ,Young Streamers
6469,Charles,6/18/2024,11/24/2024,11.99,125,Documentary,3,6,True,853,16,Australia,PayPal,German,65,4.8,True,Active,448,Laptop,18-24,Late Night,101-200 ,0-999 ,Young Streamers
1364,Michael,7/27/2023,12/2/2024,11.99,113,Horror,1,1,False,970,159,UK,Credit Card,German,96,4.9,True,Active,3398,Laptop,35-44,Late Night,101-200 ,3000-3999 ,Mature Streamers
4197,Jessica,10/31/2024,12/13/2024,15.99,183,Romance,3,5,False,490,127,Canada,Debit Card,Hindi,40,4.6,True,Active,4691,Desktop,45-54,Morning,101-200 ,4000-4990 ,Older Streamers
9700,Molly,12/26/2022,11/30/2024,15.99,272,Documentary,5,1,False,201,122,India,Cryptocurrency,English,94,4.6,True,Active,4674,Laptop,45-54,Afternoon,201-300 ,4000-4990 ,Older Streamers
5644,Joshua,4/6/2024,12/3/2024,11.99,19,Comedy,4,2,True,741,36,France,PayPal,English,13,4.4,False,Active,3641,Tablet,18-24,Afternoon,0-50 ,3000-3999 ,Young Streamers
5420,Lance,12/31/2022,12/1/2024,11.99,204,Drama,4,6,False,928,30,India,Credit Card,Mandarin,58,4.4,False,Active,1765,Smartphone,45-54,Late Night,201-300 ,1000-1999 ,Older Streamers
7560,Lori,12/24/2022,12/3/2024,7.99,345,Horror,3,3,False,80,100,USA,Credit Card,Hindi,40,4.9,True,Active,3462,Smartphone,55+,Morning,301-500 ,3000-3999 ,Senior Streamers
9644,Mark,9/8/2024,11/25/2024,7.99,294,Comedy,4,1,True,453,149,France,PayPal,Hindi,82,3.9,True,Active,790,Desktop,18-24,Morning,201-300 ,0-999 ,Young Streamers
7239,Jeremy,12/19/2023,11/29/2024,15.99,318,Action,3,2,True,943,116,Canada,PayPal,Hindi,22,4.1,False,Active,4732,Laptop,25-34,Afternoon,301-500 ,4000-4990 ,Adult Streamers
6415,Scott,10/12/2023,11/19/2024,11.99,396,Action,1,2,False,348,172,UK,Cryptocurrency,Hindi,61,3.9,False,Active,4599,Smartphone,35-44,Afternoon,301-500 ,4000-4990 ,Mature Streamers
9020,Sabrina,2/3/2023,12/3/2024,11.99,455,Horror,5,3,True,112,158,India,Credit Card,German,15,3.9,True,Active,965,Smart TV,25-34,Morning,301-500 ,0-999 ,Adult Streamers
2324,Zachary,11/24/2024,12/11/2024,7.99,175,Comedy,5,6,True,606,195,USA,Credit Card,English,95,4.0,False,Active,1155,Tablet,35-44,Late Night,101-200 ,1000-1999 ,Mature Streamers
1354,Levi,6/24/2023,12/7/2024,7.99,36,Sci-Fi,1,6,False,214,114,India,PayPal,Spanish,39,4.9,False,Active,1110,Tablet,18-24,Afternoon,0-50 ,1000-1999 ,Young Streamers
4019,Christine,12/29/2023,12/6/2024,15.99,349,Documentary,1,6,True,334,76,Canada,Credit Card,Mandarin,32,3.3,False,Active,1911,Smart TV,55+,Afternoon,301-500 ,1000-1999 ,Senior Streamers
6178,Emily,3/1/2023,12/9/2024,11.99,262,Documentary,5,5,True,849,68,India,Credit Card,French,24,3.0,False,Active,1721,Smartphone,18-24,Morning,201-300 ,1000-1999 ,Young Streamers
8673,Derrick,12/29/2023,12/11/2024,7.99,378,Action,2,3,False,155,69,UK,Debit Card,Spanish,11,3.3,False,Active,353,Smart TV,55+,Morning,301-500 ,0-999 ,Senior Streamers
8250,Jonathan,3/15/2024,11/29/2024,15.99,469,Documentary,3,5,True,406,71,Australia,Cryptocurrency,French,88,4.8,True,Active,423,Tablet,35-44,Afternoon,301-500 ,0-999 ,Mature Streamers
1609,David,4/13/2023,12/17/2024,7.99,87,Horror,4,4,False,571,54,Canada,Credit Card,German,57,4.2,False,Active,344,Smart TV,55+,Morning,51-100 ,0-999 ,Senior Streamers
3806,Gina,2/19/2023,12/12/2024,15.99,471,Documentary,3,6,True,56,69,Canada,PayPal,Mandarin,44,3.6,True,Active,4117,Tablet,55+,Morning,301-500 ,4000-4990 ,Senior Streamers
7973,Kristin,10/1/2024,12/3/2024,7.99,469,Romance,5,2,True,748,147,France,Cryptocurrency,Hindi,33,4.6,True,Active,3983,Smart TV,55+,Evening,301-500 ,3000-3999 ,Senior Streamers
7948,Douglas,11/26/2023,11/23/2024,15.99,298,Sci-Fi,4,1,False,603,161,Germany,PayPal,Spanish,68,4.4,False,Active,3941,Laptop,35-44,Afternoon,201-300 ,3000-3999 ,Mature Streamers
3195,Nicole,10/13/2023,12/17/2024,11.99,331,Action,5,5,False,990,72,Germany,Debit Card,Spanish,80,3.7,False,Active,3085,Smartphone,35-44,Morning,301-500 ,3000-3999 ,Mature Streamers
6285,Chloe,7/31/2023,11/30/2024,11.99,238,Documentary,3,6,True,831,101,USA,PayPal,German,94,4.4,True,Active,48,Smart TV,35-44,Evening,201-300 ,0-999 ,Mature Streamers
4303,David,9/6/2023,12/17/2024,7.99,231,Comedy,1,4,False,420,85,Germany,Cryptocurrency,Mandarin,30,3.5,False,Active,1520,Smart TV,55+,Evening,201-300 ,1000-1999 ,Senior Streamers
7751,Kevin,7/8/2024,11/23/2024,11.99,457,Sci-Fi,2,5,True,754,98,Canada,PayPal,Mandarin,53,3.6,True,Active,935,Smartphone,55+,Evening,301-500 ,0-999 ,Senior Streamers
7813,Nicholas,7/20/2024,11/21/2024,15.99,373,Drama,4,4,True,782,7,India,Cryptocurrency,Spanish,18,3.2,True,Active,4641,Smart TV,55+,Evening,301-500 ,4000-4990 ,Senior Streamers
9028,Terry,12/6/2023,11/28/2024,15.99,11,Action,1,4,False,557,165,USA,PayPal,French,11,4.0,True,Active,2941,Smartphone,25-34,Late Night,0-50 ,2000-2999 ,Adult Streamers
6109,Garrett,10/25/2023,12/6/2024,15.99,425,Romance,2,2,True,552,27,Germany,Cryptocurrency,English,36,4.0,True,Active,1325,Tablet,18-24,Late Night,301-500 ,1000-1999 ,Young Streamers
2565,Jose,9/15/2024,12/18/2024,7.99,231,Comedy,5,4,True,356,81,Australia,Credit Card,French,73,3.4,False,Active,4465,Tablet,55+,Late Night,201-300 ,4000-4990 ,Senior Streamers
7551,Courtney,12/31/2023,12/2/2024,15.99,483,Drama,2,4,False,161,110,USA,Cryptocurrency,French,71,4.4,True,Active,3517,Smartphone,25-34,Evening,301-500 ,3000-3999 ,Adult Streamers
6398,Kim,8/20/2023,12/7/2024,7.99,55,Romance,3,2,True,17,40,UK,PayPal,Mandarin,48,3.7,False,Active,1672,Smart TV,45-54,Late Night,51-100 ,1000-1999 ,Older Streamers
4982,Katherine,11/19/2023,12/12/2024,11.99,375,Drama,4,3,False,366,13,Canada,PayPal,Hindi,73,4.8,True,Active,2164,Tablet,25-34,Afternoon,301-500 ,2000-2999 ,Adult Streamers
8108,Lynn,10/20/2024,11/30/2024,11.99,336,Comedy,1,2,False,758,32,Canada,Cryptocurrency,German,64,5.0,False,Active,3663,Smartphone,18-24,Evening,301-500 ,3000-3999 ,Young Streamers
6779,Leah,7/22/2024,12/3/2024,7.99,196,Romance,1,6,True,936,152,Australia,PayPal,Mandarin,3,3.1,True,Active,2845,Smartphone,45-54,Afternoon,101-200 ,2000-2999 ,Older Streamers
1169,Michael,8/21/2024,12/3/2024,11.99,285,Drama,3,1,False,13,103,Australia,Credit Card,Spanish,11,3.7,False,Active,2390,Laptop,18-24,Morning,201-300 ,2000-2999 ,Young Streamers
5067,Kayla,8/31/2024,11/27/2024,7.99,155,Documentary,5,1,True,305,77,USA,Cryptocurrency,French,66,3.4,False,Active,234,Smartphone,55+,Afternoon,101-200 ,0-999 ,Senior Streamers
5299,Katelyn,4/30/2023,12/2/2024,7.99,275,Comedy,2,2,True,755,166,Germany,Debit Card,Mandarin,45,3.9,False,Active,3975,Tablet,35-44,Morning,201-300 ,3000-3999 ,Mature Streamers
3978,Jessica,5/15/2024,11/28/2024,7.99,341,Drama,3,4,False,27,82,USA,Debit Card,German,98,3.7,True,Active,561,Tablet,45-54,Afternoon,301-500 ,0-999 ,Older Streamers
8634,Maria,8/2/2023,12/13/2024,15.99,321,Drama,2,2,False,676,81,USA,Cryptocurrency,English,65,4.6,False,Active,4647,Tablet,55+,Late Night,301-500 ,4000-4990 ,Senior Streamers
9635,Justin,12/18/2023,11/26/2024,11.99,456,Comedy,2,5,False,734,83,India,Debit Card,French,87,3.8,True,Active,581,Tablet,35-44,Evening,301-500 ,0-999 ,Mature Streamers
1776,Susan,10/22/2023,11/20/2024,15.99,15,Comedy,1,4,False,687,183,France,Cryptocurrency,Hindi,46,4.2,True,Active,1250,Desktop,55+,Late Night,0-50 ,1000-1999 ,Senior Streamers
9703,Mark,2/29/2024,12/12/2024,11.99,410,Sci-Fi,3,5,False,826,182,UK,Cryptocurrency,English,69,4.2,False,Active,3441,Smartphone,35-44,Evening,301-500 ,3000-3999 ,Mature Streamers
3498,Sue,9/11/2023,12/1/2024,15.99,29,Drama,2,4,True,450,67,India,Credit Card,German,52,3.3,False,Active,3211,Smartphone,55+,Morning,0-50 ,3000-3999 ,Senior Streamers
4260,Jean,6/24/2024,12/16/2024,7.99,427,Horror,1,1,False,159,98,Germany,Credit Card,Spanish,66,3.3,False,Active,647,Smartphone,55+,Late Night,301-500 ,0-999 ,Senior Streamers
7152,James,2/5/2023,12/4/2024,11.99,166,Action,5,3,False,367,198,India,Debit Card,Hindi,11,4.6,True,Active,3751,Laptop,35-44,Afternoon,101-200 ,3000-3999 ,Mature Streamers
2457,David,10/21/2023,11/26/2024,7.99,192,Comedy,1,1,False,786,140,Canada,Debit Card,French,95,3.4,False,Active,2925,Tablet,25-34,Late Night,101-200 ,2000-2999 ,Adult Streamers
8530,Ebony,3/25/2023,12/4/2024,11.99,88,Documentary,1,6,True,962,183,Australia,Debit Card,English,90,5.0,False,Active,4646,Smart TV,55+,Late Night,51-100 ,4000-4990 ,Senior Streamers
9131,Derek,8/3/2023,11/27/2024,7.99,127,Sci-Fi,2,5,False,482,5,India,Cryptocurrency,English,99,3.6,False,Active,2867,Desktop,25-34,Afternoon,101-200 ,2000-2999 ,Adult Streamers
9770,John,10/28/2023,11/24/2024,7.99,327,Romance,4,3,False,451,108,UK,PayPal,Spanish,91,3.2,True,Active,4131,Smart TV,25-34,Evening,301-500 ,4000-4990 ,Adult Streamers
8095,Rebecca,4/15/2023,12/11/2024,7.99,10,Action,2,5,True,22,14,Australia,Debit Card,English,25,4.1,True,Active,2927,Smart TV,35-44,Evening,0-50 ,2000-2999 ,Mature Streamers
3763,Juan,12/19/2022,12/6/2024,11.99,181,Horror,4,2,False,848,172,India,Cryptocurrency,Mandarin,6,3.4,False,Active,3314,Smartphone,55+,Morning,101-200 ,3000-3999 ,Senior Streamers
4346,Gabrielle,2/14/2024,12/12/2024,15.99,238,Action,4,2,False,524,162,USA,Cryptocurrency,German,20,3.0,True,Active,1782,Smartphone,45-54,Morning,201-300 ,1000-1999 ,Older Streamers
5866,Nicholas,6/1/2024,11/26/2024,7.99,380,Documentary,2,3,False,76,25,Germany,PayPal,Hindi,95,4.2,True,Active,1938,Laptop,55+,Afternoon,301-500 ,1000-1999 ,Senior Streamers
5865,Samantha,7/23/2023,11/24/2024,11.99,444,Sci-Fi,2,3,False,959,183,Germany,PayPal,Hindi,93,3.8,False,Active,3935,Smart TV,18-24,Afternoon,301-500 ,3000-3999 ,Young Streamers
9398,Jesse,10/30/2024,12/11/2024,7.99,83,Comedy,3,5,True,148,154,UK,Credit Card,Hindi,21,3.1,False,Active,3206,Smart TV,45-54,Late Night,51-100 ,3000-3999 ,Older Streamers
9695,Aaron,12/8/2023,12/18/2024,7.99,452,Documentary,4,4,False,338,132,Australia,PayPal,Spanish,63,3.3,False,Active,2523,Smartphone,18-24,Late Night,301-500 ,2000-2999 ,Young Streamers
8805,Maurice,7/6/2024,12/6/2024,15.99,53,Romance,4,2,True,720,37,Australia,PayPal,Spanish,8,4.0,True,Active,2727,Laptop,55+,Evening,51-100 ,2000-2999 ,Senior Streamers
8353,Lisa,6/20/2023,11/19/2024,15.99,89,Romance,5,3,False,387,81,Australia,PayPal,English,87,3.8,True,Active,2864,Tablet,45-54,Late Night,51-100 ,2000-2999 ,Older Streamers
3178,Melissa,3/19/2024,12/11/2024,7.99,359,Horror,5,4,False,624,107,India,Debit Card,Spanish,4,3.1,True,Active,3698,Tablet,45-54,Afternoon,301-500 ,3000-3999 ,Older Streamers
4917,Erin,2/19/2023,11/20/2024,11.99,487,Horror,1,4,False,636,66,Australia,PayPal,French,78,3.5,False,Active,1531,Smartphone,45-54,Morning,301-500 ,1000-1999 ,Older Streamers
8878,Dale,2/29/2024,11/21/2024,7.99,337,Comedy,5,1,True,429,190,Canada,Credit Card,Mandarin,88,4.8,False,Active,4884,Smartphone,35-44,Afternoon,301-500 ,4000-4990 ,Mature Streamers
3810,Gregory,2/17/2023,12/4/2024,15.99,427,Horror,5,3,False,832,103,Australia,Cryptocurrency,Mandarin,79,3.3,False,Active,3633,Smartphone,25-34,Evening,301-500 ,3000-3999 ,Adult Streamers
9353,Sarah,8/6/2023,11/26/2024,7.99,397,Documentary,4,4,True,63,126,Germany,Debit Card,Mandarin,77,3.9,True,Active,4719,Smartphone,25-34,Afternoon,301-500 ,4000-4990 ,Adult Streamers
1672,Carmen,12/21/2022,11/28/2024,15.99,200,Horror,4,1,False,52,8,France,Credit Card,French,17,3.2,True,Active,3161,Smart TV,45-54,Morning,101-200 ,3000-3999 ,Older Streamers
6650,April,3/3/2024,11/26/2024,11.99,464,Drama,2,3,True,909,165,Germany,Cryptocurrency,Spanish,28,3.6,True,Active,3607,Desktop,18-24,Evening,301-500 ,3000-3999 ,Young Streamers
2581,Anthony,4/13/2023,12/2/2024,15.99,495,Documentary,1,3,False,704,53,UK,Credit Card,English,94,3.4,False,Active,944,Tablet,55+,Evening,301-500 ,0-999 ,Senior Streamers
6860,Brett,2/11/2024,12/16/2024,7.99,286,Drama,5,4,False,751,103,UK,Cryptocurrency,French,33,3.6,False,Active,2757,Smart TV,55+,Late Night,201-300 ,2000-2999 ,Senior Streamers
4584,Matthew,9/26/2024,12/14/2024,7.99,446,Drama,3,6,False,185,134,USA,Credit Card,Spanish,18,3.3,False,Active,727,Smartphone,45-54,Morning,301-500 ,0-999 ,Older Streamers
3354,Lisa,10/1/2023,11/22/2024,11.99,342,Comedy,2,2,False,503,6,France,PayPal,French,23,3.2,True,Active,3496,Laptop,45-54,Afternoon,301-500 ,3000-3999 ,Older Streamers
4668,Carly,12/17/2024,12/9/2024,11.99,396,Sci-Fi,5,5,True,549,35,Canada,PayPal,German,66,3.6,True,Active,4293,Laptop,55+,Morning,301-500 ,4000-4990 ,Senior Streamers
6684,Dennis,9/17/2024,12/11/2024,11.99,491,Romance,1,6,True,434,182,Germany,Cryptocurrency,Spanish,24,4.1,False,Active,1357,Tablet,45-54,Late Night,301-500 ,1000-1999 ,Older Streamers
8058,Alexandra,4/2/2023,12/14/2024,15.99,239,Sci-Fi,4,6,False,832,134,Australia,Cryptocurrency,Spanish,99,4.6,True,Active,3596,Desktop,18-24,Morning,201-300 ,3000-3999 ,Young Streamers
3035,Michael,4/26/2023,11/24/2024,15.99,106,Romance,3,3,True,377,31,Germany,Credit Card,English,85,3.5,True,Active,613,Desktop,55+,Late Night,101-200 ,0-999 ,Senior Streamers
2146,Ryan,7/11/2024,11/22/2024,11.99,388,Horror,5,4,True,380,125,Australia,PayPal,German,14,3.2,False,Active,2381,Tablet,25-34,Afternoon,301-500 ,2000-2999 ,Adult Streamers
5761,Tony,1/20/2024,12/8/2024,15.99,452,Drama,2,5,False,315,118,India,Cryptocurrency,Spanish,28,3.0,True,Active,2159,Desktop,45-54,Morning,301-500 ,2000-2999 ,Older Streamers
5256,Daniel,11/18/2024,12/2/2024,15.99,368,Sci-Fi,4,4,True,968,24,Australia,Debit Card,Mandarin,30,3.0,True,Active,119,Tablet,55+,Late Night,301-500 ,0-999 ,Senior Streamers
5995,Melissa,6/17/2023,11/27/2024,15.99,325,Action,2,5,True,757,35,UK,Credit Card,Mandarin,81,4.6,False,Active,2798,Smartphone,25-34,Late Night,301-500 ,2000-2999 ,Adult Streamers
4155,Jacob,3/7/2023,12/6/2024,11.99,42,Sci-Fi,4,2,False,560,98,France,Debit Card,Mandarin,90,3.8,False,Active,496,Laptop,18-24,Afternoon,0-50 ,0-999 ,Young Streamers
